Location,Median Pop Total
Costa Rica,4899.336
Congo,4980.996
Norway,5250.95
Slovakia,5442.001
Finland,5497.714
Singapore,5653.625
Turkmenistan,5662.371
Denmark,5711.346
Denmark (and dependencies),5815.927
Kyrgyzstan,6074.327
LLDC: Europe,6146.759
Nicaragua,6303.97
El Salvador,6356.137
Libya,6492.16
Lebanon,6714.281
Paraguay,6777.878
Lao People's Democratic Republic,6845.848
Bulgaria,7151.948
"China, Hong Kong SAR",7243.541
Sierra Leone,7328.846
Togo,7509.952
Israel,8108.984
Papua New Guinea,8271.766
Switzerland,8379.915
Tajikistan,8663.575
Austria,8747.306
Serbia,8853.963
Honduras,9270.794
United Arab Emirates,9360.975
Belarus,9445.638
Jordan,9554.286
Azerbaijan,9736.041
Hungary,9752.97
Sweden,9836.003
Melanesia,10316.126
Portugal,10325.54
Dominican Republic,10397.738
Burundi,10488.002
Greece,10615.183
Czechia,10618.868
South Sudan,10832.52
Haiti,10839.976
Least developed: Latin America and the Caribbean,10839.976
Benin,10872.072
Bolivia (Plurinational State of),11031.822
Tunisia,11303.942
Cuba,11335.108
Belgium,11354.407
ESCAP: Pacific island dev. econ.,11500.282
SIDS Pacific,11500.282
Less developed: Oceania,11513.656
Oceania (excluding Australia and New Zealand),11513.656
Rwanda,11668.829
Guinea,11738.434
ECLAC: The Caribbean,12227.153
European Free Trade Agreement (EFTA),14000.729
Zimbabwe,14030.338
Somalia,14185.635
Belt-Road Initiative: Pacific,14506.793
Chad,14561.658
Senegal,14993.514
"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",15212.19
Cambodia,15766.29
Zambia,16363.449
Ecuador,16491.116
Guatemala,16583.079
Netherlands,16981.285
Malawi,17205.253
Netherlands (and dependencies),17313.034
Syrian Arab Republic,17465.567
LLDC: Latin America,17809.7
Kazakhstan,17830.902
Mali,17965.448
Caribbean Community and Common Market (CARICOM),18114.339
Chile,18209.072
Burkina Faso,18646.35
Romania,19796.28
Niger,20788.789
Sri Lanka,21021.177
"China, Taiwan Province of China",23618.201
C��te d'Ivoire,23822.726
Cameroon,23926.549
Australia,24262.71
Madagascar,24894.37
Dem. People's Republic of Korea,25307.665
Central European Free Trade Agreement (CEFTA),26109.294
Yemen,27168.21
Nepal,27263.43
Mozambique,27829.93
Ghana,28481.947
Angola,28842.482
Australia/New Zealand,28921.975
More developed: Oceania,28921.975
Venezuela (Bolivarian Republic of),29851.249
Malaysia,30684.652
Peru,30926.036
Uzbekistan,31441.753
Saudi Arabia,32443.443
Morocco,35126.274
Afghanistan,35383.028
Canada,36382.942
Iraq,36610.632
Poland,37989.218
Commonwealth: Pacific,39393.829
Uganda,39649.173
Sudan,39847.433
ESCAP region: Pacific,40422.257
Countries with Access to the Sea: Oceania,40435.631
Oceania,40435.631
Algeria,40551.398
SIDS Caribbean,42802.489
Caribbean,42827.506
Commonwealth: Caribbean and Americas,43087.444
Argentina,43508.459
Ukraine,44713.708
Spain,46634.131
Colombia,48175.048
Kenya,49051.531
Republic of Korea,50983.446
Myanmar,53045.199
United Republic of Tanzania,53049.231
ESCWA: Gulf Cooperation Council countries,54320.669
Gulf Cooperation Council (GCC),54320.669
South Africa,56207.649
Bolivarian Alliance for the Americas (ALBA),59139.363
Italy,60663.068
Land-locked Countries (Others),61969.171
Southern Africa,63914.653
France,64667.59
United Kingdom,66297.944
United Kingdom (and dependencies),66802.034
France (and dependencies),67440.768
Commonwealth: Europe,67904.232
Thailand,68971.313
Small Island Developing States (SIDS),69514.961
Central Asia,69672.928
Democratic Republic of the Congo,78789.13
Iran (Islamic Republic of),79563.991
Turkey,79827.868
Germany,82193.77
ESCAP: Central Asia,86360.573
ESCWA: Arab least developed countries,87089.524
ESCAP: WB Low income econ.,87954.123
ESCWA: Maghreb countries,93473.774
Viet Nam,93640.435
Egypt,94447.071
Ethiopia,103603.461
Philippines,103663.812
Northern Europe,104100.674
New EU member states (joined since 2004),104820.716
Andean Community,106624.022
West African Economic and Monetary Union (UEMOA),116381.285
Mexico,123333.379
Japan,127763.267
More developed: Asia,127763.267
African Union: Central Africa,140710.302
Russian Federation,145275.374
Southern Europe,152936.834
ESCAP: Landlocked countries (LLDCs),155630.486
LLDC: Asia,155630.486
ESCAP: ADB Group A (Concessional assistance��only),155749.528
Bangladesh,157977.151
Middle Africa,159064.782
African Union: Southern Africa,168186.105
ESCWA: Mashreq countries,169427.481
Central America,171152.167
East African Community (EAC),174739.286
Economic Community of Central African States (ECCAS),181221.613
Nigeria,185960.244
ESCAP: other Asia-Pacific countries/areas,188209.848
African Union: Northern Africa,192623.121
Western Europe,192979.264
Belt-Road Initiative: Latin America and the Caribbean,201315.813
Pakistan,203631.356
Brazil,206163.056
Eurasian Economic Community (Eurasec),218731.569
ESCAP: high HDI,221817.604
ESCAP: high income,222035.607
ESCAP: WB High income econ.,222376.844
Northern Africa,228307.022
ESCAP region: North and Central Asia,231635.947
UNFPA: Eastern Europe and Central Asia (EECA),241621.199
Indonesia,261556.386
Western Asia,262263.975
UNICEF Programme Regions: Europe and Central Asia (CEECIS),273405.309
Commonwealth of Independent States (CIS),285845.849
Eastern Europe,294252.018
ESCAP: Least Developed Countries (LDCs),299258.466
Southern Common Market (MERCOSUR),300756.603
LLDC: Africa,305689.913
United States of America,323015.992
Least developed: Asia,325405.151
United States of America (and dependencies),326678.816
Southern African Development Community (SADC),327072.014
Black Sea Economic Cooperation (BSEC),339874.409
Eastern European Group,341237.476
ESCWA: member countries,347849.701
UNFPA: Arab States (AS),349510.867
African Union: Eastern Africa,353241.036
African Union: Western Africa,357157.818
Economic Community of West African States (ECOWAS),357157.818
ECE: North America-2,359398.934
Countries with Access to the Sea: Northern America,359524.635
More developed: Northern America,359524.635
Northern America,359524.635
UNICEF Regions: North America,359524.635
Western Africa,361327.308
WB region: Middle East and North Africa (excluding high income),370562.573
European Community (EC: 12),380719.32
Greater Arab Free Trade Area (GAFTA),384237.567
ESCAP: upper middle HDI,388322.241
Eastern Africa,400426.777
ESCWA: Arab countries,404311.448
"League of Arab States (LAS, informal name: Arab League)",404311.448
European Union (EU: 15),404800.343
UNFPA: West and Central Africa (WCA),412754.52
WB region: Europe and Central Asia (excluding high income),414472.072
Belt-Road Initiative: Europe,415916.293
South America,416164.871
UNICEF Regions: Eastern Europe and Central Asia,418680.683
UNICEF Regions: Middle East and North Africa,432601.853
UNICEF Programme Regions: Middle East and North Africa (MENARO),464730.675
Economic Cooperation Organization (ECO),477815.212
ESCAP: ECO,477815.212
Organization of Petroleum Exporting countries (OPEC),478328.611
North American Free Trade Agreement (NAFTA),482732.313
Land-locked Developing Countries (LLDC),485276.858
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),489781.012
Northern Africa and Western Asia,490570.997
UNICEF Programme Regions: West and Central Africa (WCARO),491543.65
UNICEF Regions: West and Central Africa,491549.608
UNICEF Regions: Western Europe,492946.737
European Union (EU: 28),509621.059
Commonwealth: Africa,527936.35
UNICEF Regions: Eastern and Southern Africa,533031.345
Land-locked Countries,547246.029
Latin American Integration Association (ALADI),553263.435
WB region: Latin America and Caribbean (excluding high income),553817.674
UNFPA: East and Southern Africa (ESA),555646.377
ESCAP: lower middle income,561642.841
Countries with Access to the Sea: Latin America and the Caribbean,612334.844
ECLAC: Latin America,617914.465
UNICEF Programme Regions: Latin America,622525.352
UNICEF Programme Regions: Latin America and Caribbean (LACRO),624891.253
Latin American and Caribbean Group (GRULAC),625183.85
UNFPA: Latin America and the Caribbean (LAC),625701.832
Least developed: Africa,626253.066
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),630141.618
Latin America and the Caribbean,630144.544
Less developed: Latin America and the Caribbean,630144.544
UNICEF Regions: Latin America and Caribbean,630144.544
Association of Southeast Asian Nations (ASEAN),640247.351
ESCAP: ASEAN,640247.351
ESCAP region: South-East Asia,641466.64
South-Eastern Asia,641466.64
WHO: Eastern Mediterranean Region (EMRO),672743.652
Countries with Access to the Sea: Europe,676153.651
Low-income countries,699950.58
Europe,744268.79
Europe (48),744268.79
More developed: Europe,744268.79
Group of Seven (G7),760984.573
Western European and Others Group (WEOG),903040.63
Group of Eight (G8),906259.947
Countries with Access to the Sea: Africa,907350.629
UNICEF Regions: Europe and Central Asia,911627.42
WHO: European Region (EURO),919365.829
North Atlantic Treaty Organization (NATO),927561.617
Least developed countries,963519.718
Organization of American States (OAS),984582.784
WHO: Americas (AMRO),984582.784
Sub-Saharan Africa,984733.52
WHO: African region (AFRO),1009048.006
WB region: Sub-Saharan Africa (excluding high income),1022433.965
UNICEF Regions: Sub-Saharan Africa,1024580.953
"African, Caribbean and Pacific (ACP) Group of States",1064364.411
Belt-Road Initiative: Africa,1080483.455
Europe and Northern America,1103793.425
African Group,1211379.638
United Nations Economic Commission for Africa (UN-ECA),1211379.638
African Union,1211918.382
Africa,1213040.542
Less developed: Africa,1213040.542
High-income countries,1240426.308
More developed regions,1260478.667
Organization for Security and Co-operation in Europe (OSCE),1273750.583
ECE: UNECE-52,1278615.895
UN-ECE: member countries,1278802.418
Organisation for Economic Co-operation and Development (OECD),1287367.931
India,1324517.25
China,1414049.353
China (and dependencies),1445523.919
Belt-Road Initiative: Asia,1491565.843
ESCAP region: East and North-East Asia,1629016.454
Eastern Asia,1652634.655
ESCAP: upper middle income,1688577.48
ESCAP: ADB Group B��(OCR blend),1730132.641
Commonwealth: Asia,1743905.002
Organization of the Islamic Conference (OIC),1768995.953
ESCAP: SAARC,1771005.603
South Asian Association for Regional Cooperation (SAARC),1771005.603
UNICEF Programme Regions: South Asia (ROSA),1771005.603
UNICEF Regions: South Asia,1771005.603
WB region: South Asia (excluding high income),1771005.603
ESCAP: low HDI,1844441.396
Southern Asia,1850569.594
ESCAP: WB Upper middle income econ.,1857107.645
WHO: Western Pacific region (WPRO),1892125.494
Central and Southern Asia,1920242.522
ESCAP region: South and South-West Asia,1930397.462
WHO: South-East Asia region (SEARO),1942091.071
ESCAP: low income,2000682.832
ESCAP: lower middle HDI,2018357.519
ESCAP: ADB Group C (Regular OCR only),2034657.973
UNICEF Programme Regions: East Asia and Pacific (EAPRO),2088484.518
WB region: East Asia and Pacific (excluding high income),2088502.131
Eastern and South-Eastern Asia,2294101.295
ESCAP: WB Lower middle income econ.,2305481.016
UNICEF Regions: East Asia and Pacific,2334536.926
Commonwealth of Nations,2422226.857
Upper-middle-income countries,2585693.593
Asia-Pacific Economic Cooperation (APEC),2902584.358
Lower-middle-income countries,2935149.845
BRIC,3090005.033
BRICS,3146212.682
Shanghai Cooperation Organization (SCO),3151483.89
Belt-Road Initiative (BRI),3203788.197
ESCAP: ADB Developing member countries (DMCs),3920540.142
UNFPA: Asia and the Pacific (AP),3939054.112
Countries with Access to the Sea: Asia,4320977.306
Less developed: Asia,4348844.525
Asia-Pacific Group,4457833.029
ESCAP: WB income groups,4472919.628
ESCAP: HDI groups,4472938.76
ESCAP: income groups,4472938.76
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,4472938.76
Asia,4476607.792
Group of Twenty (G20) - member states,4523112.946
"Less developed regions, excluding China",4758019.348
"Less developed regions, excluding least developed countries",5240023.549
Middle-income countries,5520843.438
Group of 77 (G77),5832489.777
UNFPA Regions,6124288.907
Less developed regions,6203543.267
UNICEF PROGRAMME REGIONS,6203842.02
World Bank Regional Groups (developing only),6220794.018
Countries with Access to the Sea,6916776.696
WHO Regions,7419956.836
United Nations Member States,7458846.755
UNITED NATIONS Regional Groups of Member States,7458846.845
UNICEF REGIONS,7464021.934
World,7464021.934
