Taster Name,Title,Avg. Points,Avg. Price,Points
Anna Lee C. Iijima,"Wölffer 2012 Perle Chardonnay (The Hamptons, Long Island)",86,30,86
Anna Lee C. Iijima,Wölffer 2012 Merlot (Long Island),88,20,88
Anna Lee C. Iijima,Wölffer 2012 Cabernet Franc (Long Island),88,24,88
Anna Lee C. Iijima,Wölffer 2011 Merlot (Long Island),87,20,87
Anna Lee C. Iijima,Wölffer 2011 Fatalis Fatum Red (Long Island),88,35,88
Anna Lee C. Iijima,"Wölffer 2010 Noblesse Oblige Extra Brut Rosé  (The Hamptons, Long Island)",88,40,88
Anna Lee C. Iijima,"Wölffer 2010 Lombardo Merlot (The Hamptons, Long Island)",89,35,89
Anna Lee C. Iijima,"Wölffer 2010 Fatalis Fatum Red (The Hamptons, Long Island)",89,40,89
Anna Lee C. Iijima,"Wölffer 2010 Cool As Well Blanc de Blancs Brut Chardonnay (The Hamptons, Long Island)",90,35,90
Anna Lee C. Iijima,"Wölffer 2010 Christian's Cuvee Merlot (The Hamptons, Long Island)",90,100,90
Susan Kostrzewa,Wölffer 2008 Pinot Gris (Long Island),87,22,87
Susan Kostrzewa,Wölffer 2008 Grandioso Rosé (Long Island),87,29,87
Anna Lee C. Iijima,"Wölffer 2008 Estate Merlot (The Hamptons, Long Island)",88,20,88
Susan Kostrzewa,"Wölffer 2007 Rosé (The Hamptons, Long Island)",86,15,86
Anna Lee C. Iijima,Wölffer 2007 Cassango Cabernet Sauvignon (Long Island),88,40,88
Anna Lee C. Iijima,"Wölffer 2006 Noblesse Oblige Rosé Sparkling Wine Sparkling (The Hamptons, Long Island)",86,40,86
Susan Kostrzewa,"Wölffer 2006 Fatalis Fatum Red (The Hamptons, Long Island)",84,40,84
Anna Lee C. Iijima,Wölffer 2006 Brut Blanc de Blanc Sparkling (Long Island),86,35,86
,"Wölffer 2000 Late Harvest Chardonnay (The Hamptons, Long Island)",88,35,88
Joe Czerwinski,Wölffer 1999 Rosé (Long Island),84,11,84
Anna Lee C. Iijima,Waters Crest NV Sparkling (North Fork of Long Island),87,40,87
Anna Lee C. Iijima,Waters Crest 2013 Grand Vin Merlot (North Fork of Long Island),90,40,90
Anna Lee C. Iijima,Waters Crest 2013 Grand Vin Cabernet Franc (North Fork of Long Island),90,40,90
Anna Lee C. Iijima,Waters Crest 2012 Sauvignon Blanc (North Fork of Long Island),89,20,89
Anna Lee C. Iijima,Waters Crest 2010 Rosé (North Fork of Long Island),84,24,84
Anna Lee C. Iijima,Waters Crest 2010 Grand Vin Merlot (North Fork of Long Island),90,35,180
Anna Lee C. Iijima,Waters Crest 2010 Grand Vin Cabernet Franc (North Fork of Long Island),87,35,87
Anna Lee C. Iijima,Waters Crest 2010 Campania Rosso Red (North Fork of Long Island),89,40,89
,Waters Crest 2008 Rosé (North Fork of Long Island),84,18,84
Anna Lee C. Iijima,Waters Crest 2008 Campania Rosso Red (North Fork of Long Island),84,50,84
Anna Lee C. Iijima,Waters Crest 2007 Grand Vin Cabernet Sauvignon (North Fork of Long Island),86,45,86
Susan Kostrzewa,Waters Crest 2006 Night Watch Late Harvest Wine White (North Fork of Long Island),86,45,86
Susan Kostrzewa,Waters Crest 2006 Campania Rosso Red (North Fork of Long Island),86,30,86
Anna Lee C. Iijima,The Old Field 2014 Cacklin' Rosé Dry Merlot (North Fork of Long Island),84,18,84
Anna Lee C. Iijima,The Old Field 2014 Blush de Noir Pinot Noir (North Fork of Long Island),86,16,86
Anna Lee C. Iijima,The Old Field 2010 Merlot (North Fork of Long Island),87,26,87
Anna Lee C. Iijima,The Old Field 2010 Commodore Perry Merlot (North Fork of Long Island),87,38,174
Anna Lee C. Iijima,The Grapes of Roth 2015 Virgin Berry Dry Riesling (North Fork of Long Island),90,32,90
Anna Lee C. Iijima,The Grapes of Roth 2015 Dry Riesling (North Fork of Long Island),90,26,90
Anna Lee C. Iijima,The Grapes of Roth 2014 Virgin Berry Dry Riesling (Long Island),91,32,91
Anna Lee C. Iijima,The Grapes of Roth 2014 Dry Riesling (Long Island),90,26,180
Anna Lee C. Iijima,The Grapes of Roth 2012 Merlot (North Fork of Long Island),93,44,93
Anna Lee C. Iijima,The Grapes of Roth 2010 Merlot (Long Island),90,44,90
Anna Lee C. Iijima,The Grapes of Roth 2009 Noble Roth Late Harvest Riesling (Long Island),90,36,90
Anna Lee C. Iijima,The Grapes of Roth 2007 Merlot (Long Island),91,44,91
Anna Lee C. Iijima,The Grapes of Roth 2005 Merlot (Long Island),90,50,90
Anna Lee C. Iijima,T'Jara 2013 Reserve Red (North Fork of Long Island),87,35,87
Anna Lee C. Iijima,T'Jara 2013 Cabernet Franc (North Fork of Long Island),91,25,91
Anna Lee C. Iijima,T'Jara 2010 Reserve Red (North Fork of Long Island),89,34,89
Anna Lee C. Iijima,T'Jara 2010 Merlot (North Fork of Long Island),88,25,88
Anna Lee C. Iijima,T'Jara 2010 Cabernet Franc (North Fork of Long Island),86,25,86
Anna Lee C. Iijima,T'Jara 2007 Reserve Red (North Fork of Long Island),85,30,85
Anna Lee C. Iijima,Suhru 2013 Shiraz (North Fork of Long Island),88,23,176
Anna Lee C. Iijima,Suhru 2013 Ember Red (North Fork of Long Island),89,19,89
Anna Lee C. Iijima,Suhru 2012 Ember Red (North Fork of Long Island),88,20,88
Anna Lee C. Iijima,Suhru 2011 Shiraz (North Fork of Long Island),86,22,86
Anna Lee C. Iijima,Suhru 2009 Shiraz (North Fork of Long Island),85,22,85
Anna Lee C. Iijima,Suhru 2008 Red Red (North Fork of Long Island),86,20,86
Anna Lee C. Iijima,Sparkling Pointe NV Topaz Impérial Rosé  (North Fork of Long Island),90,37,90
Anna Lee C. Iijima,Sparkling Pointe NV Cuvée Carnaval Sparkling (North Fork of Long Island),87,27,87
Anna Lee C. Iijima,Sparkling Pointe NV Brut Sparkling (North Fork of Long Island),89,29,89
Anna Lee C. Iijima,Sparkling Pointe 2014 Topaz Impérial Rosé  (North Fork of Long Island),91,37,91
Anna Lee C. Iijima,Sparkling Pointe 2013 Topaz Impérial Sparkling (North Fork of Long Island),89,37,89
Anna Lee C. Iijima,Sparkling Pointe 2013 Brut Sparkling (North Fork of Long Island),89,29,89
Anna Lee C. Iijima,Sparkling Pointe 2012 Blanc de Blancs Chardonnay (North Fork of Long Island),90,44,90
Anna Lee C. Iijima,Sparkling Pointe 2011 Topaz Impérial Rosé  (North Fork of Long Island),90,37,90
Anna Lee C. Iijima,Sparkling Pointe 2011 Brut  (North Fork of Long Island),89,29,89
Anna Lee C. Iijima,Sparkling Pointe 2011 Blanc de Blancs Chardonnay (North Fork of Long Island),90,42,90
Anna Lee C. Iijima,Sparkling Pointe 2010 Topaz Impérial Rosé  (North Fork of Long Island),87,37,174
Anna Lee C. Iijima,Sparkling Pointe 2010 Brut  (North Fork of Long Island),89,29,89
Anna Lee C. Iijima,Sparkling Pointe 2009 Topaz Impérial Sparkling (North Fork of Long Island),87,37,87
Anna Lee C. Iijima,Sparkling Pointe 2009 Blanc de Blancs Chardonnay (North Fork of Long Island),88,42,88
Anna Lee C. Iijima,Sparkling Pointe 2008 Blanc de Noirs Sparkling (North Fork of Long Island),90,75,90
Anna Lee C. Iijima,Sparkling Pointe 2007 Topaz Imperial Sparkling (North Fork of Long Island),87,33,174
Anna Lee C. Iijima,Sparkling Pointe 2007 Brut Sparkling (North Fork of Long Island),87,29,87
Anna Lee C. Iijima,Sparkling Pointe 2007 Brut Séduction  (North Fork of Long Island),92,72,92
Anna Lee C. Iijima,Sparkling Pointe 2007 Blanc de Blancs Chardonnay (North Fork of Long Island),89,42,89
Anna Lee C. Iijima,Sparkling Pointe 2006 Blanc de Blancs Chardonnay (North Fork of Long Island),88,42,88
Anna Lee C. Iijima,Sparkling Pointe 2005 Topaz Impérial Sparkling (North Fork of Long Island),86,33,86
Anna Lee C. Iijima,Sparkling Pointe 2005 Brut Séduction  (North Fork of Long Island),91,60,91
Anna Lee C. Iijima,Sparkling Pointe 2005 Blanc de Blancs Sparkling (North Fork of Long Island),88,42,88
Anna Lee C. Iijima,Sparkling Pointe 2004 Blanc de Blancs Chardonnay (North Fork of Long Island),88,42,88
Anna Lee C. Iijima,Sparkling Pointe 2002 Brut Séduction Sparkling (North Fork of Long Island),90,60,90
Anna Lee C. Iijima,Southold 2014 Tilting at Windmills Old Gristina Vineyard Chardonnay (North Fork of Long Island),87,26,87
Anna Lee C. Iijima,Southold 2014 Flying & Falling Cabernet Franc (North Fork of Long Island),92,32,92
Anna Lee C. Iijima,Shinn Estate 2013 Rosé (North Fork of Long Island),89,16,89
Anna Lee C. Iijima,Shinn Estate 2011 First Fruit Sauvignon Blanc (North Fork of Long Island),89,22,89
Anna Lee C. Iijima,Shinn Estate 2010 Haven Sauvignon Blanc-Semillon (North Fork of Long Island),90,35,90
Anna Lee C. Iijima,Sherwood House Vineyards 2016 Oregon Road White Merlot Rosé (North Fork of Long Island),87,18,174
Anna Lee C. Iijima,Sherwood House Vineyards 2016 Oregon Road Chardonnay (North Fork of Long Island),86,18,86
Anna Lee C. Iijima,Sherwood House Vineyards 2011 Estate Grown Chardonnay (North Fork of Long Island),85,30,85
Anna Lee C. Iijima,Sherwood House Vineyards 2010 Sherwood Manor Estate Grown Red (North Fork of Long Island),86,45,86
Anna Lee C. Iijima,Sherwood House Vineyards 2010 Oregon Road Merlot (North Fork of Long Island),88,18,88
Anna Lee C. Iijima,Sherwood House Vineyards 2010 Estate Grown Chardonnay (North Fork of Long Island),86,30,86
Anna Lee C. Iijima,Sherwood House Vineyards 2010 Estate Grown Cabernet Franc (North Fork of Long Island),87,40,87
Anna Lee C. Iijima,Sherwood House Vineyards 2010 Chardonnay (North Fork of Long Island),86,30,86
Anna Lee C. Iijima,Sherwood House Vineyards 2007 Sherwood Manor Red (North Fork of Long Island),85,55,85
Anna Lee C. Iijima,Sherwood House Vineyards 2007 Merlot (North Fork of Long Island),86,30,86
Anna Lee C. Iijima,Sherwood House Vineyards 2007 Cabernet Franc (North Fork of Long Island),86,40,86
Anna Lee C. Iijima,Sherwood House Vineyards 2005 Merlot (North Fork of Long Island),85,25,85
Anna Lee C. Iijima,Sherwood House Vineyards 2004 Merlot (North Fork of Long Island),86,25,86
Anna Lee C. Iijima,Sannino 2016 Viognier (North Fork of Long Island),87,20,87
Anna Lee C. Iijima,Sannino 2016 Sauvignon Blanc (North Fork of Long Island),87,20,87
Anna Lee C. Iijima,Sannino 2016 Chilly Day Chardonnay (North Fork of Long Island),85,20,85
Anna Lee C. Iijima,Sannino 2016 Chardonnay (North Fork of Long Island),85,20,85
Anna Lee C. Iijima,Sannino 2014 Cabernet Franc (North Fork of Long Island),87,34,174
Anna Lee C. Iijima,Sannino 2014 Bianca Rosé Merlot (North Fork of Long Island),84,16,84
Anna Lee C. Iijima,Sannino 2014 Bianca Dolce Rosé Merlot (North Fork of Long Island),85,15,85
Anna Lee C. Iijima,Sannino 2013 Spotlight Petit Verdot (North Fork of Long Island),88,50,176
Anna Lee C. Iijima,Sannino 2013 Merlot (North Fork of Long Island),86,30,172
Anna Lee C. Iijima,Sannino 2013 Cabernet Sauvignon (North Fork of Long Island),87,38,87
Anna Lee C. Iijima,Sannino 2013 Cabernet Franc (North Fork of Long Island),85,34,85
Anna Lee C. Iijima,Sannino 2013 Bella Vita Vineyard Syrah (North Fork of Long Island),87,42,87
Anna Lee C. Iijima,Sannino 2012 Bianca Rosé Merlot (North Fork of Long Island),86,20,86
Anna Lee C. Iijima,Sannino 2010 Prima Rossa Red (North Fork of Long Island),85,35,85
Anna Lee C. Iijima,Saltbird 2014 Migratus Sauvignon Blanc (North Fork of Long Island),88,27,176
Anna Lee C. Iijima,Roanoke Vineyards 2011 The Wild Chardonnay (North Fork of Long Island),86,20,86
Anna Lee C. Iijima,Roanoke Vineyards 2010 Gabby's Cabernet Franc (North Fork of Long Island),87,43,87
Anna Lee C. Iijima,Raphael 2016 Sauvignon Blanc (North Fork of Long Island),87,19,87
Anna Lee C. Iijima,Raphael 2015 Rosé of Pinot Noir (North Fork of Long Island),90,24,90
Anna Lee C. Iijima,Raphael 2015 Cabernet Franc (North Fork of Long Island),88,22,88
Anna Lee C. Iijima,Raphael 2014 Virgin Berry Riesling (North Fork of Long Island),90,26,90
Anna Lee C. Iijima,Raphael 2014 Sauvignon Blanc (North Fork of Long Island),88,20,88
Anna Lee C. Iijima,Raphael 2014 Reserve Cabernet Franc (North Fork of Long Island),93,50,93
Anna Lee C. Iijima,Raphael 2014 Primo Reserve Red (North Fork of Long Island),92,60,92
Anna Lee C. Iijima,Raphael 2014 First Label Sauvignon Blanc (North Fork of Long Island),90,28,90
Anna Lee C. Iijima,Raphael 2014 Cabernet Franc (North Fork of Long Island),90,22,90
Anna Lee C. Iijima,Raphael 2013 Sauvignon Blanc (North Fork of Long Island),85,18,85
Anna Lee C. Iijima,Raphael 2013 Reserve Petit Verdot (North Fork of Long Island),92,50,92
Anna Lee C. Iijima,Raphael 2013 Reserve Cabernet Sauvignon (North Fork of Long Island),92,50,92
Anna Lee C. Iijima,Raphael 2013 Reserve Cabernet Franc (North Fork of Long Island),91,50,91
Anna Lee C. Iijima,Raphael 2013 Primo Reserve Estate Bottled Red (North Fork of Long Island),93,75,93
Anna Lee C. Iijima,Raphael 2013 First Label Riesling (North Fork of Long Island),87,28,87
Anna Lee C. Iijima,Raphael 2013 Estate Merlot (North Fork of Long Island),89,22,89
Anna Lee C. Iijima,Raphael 2013 Cabernet Franc (North Fork of Long Island),89,25,89
Anna Lee C. Iijima,Raphael 2012 La Fontana Red (North Fork of Long Island),89,30,89
Anna Lee C. Iijima,Raphael 2012 First Label Merlot (North Fork of Long Island),91,32,91
Anna Lee C. Iijima,Raphael 2012 Chardeaux White (North Fork of Long Island),85,16,85
Anna Lee C. Iijima,Raphael 2010 La Tavola Red (North Fork of Long Island),86,14,86
Anna Lee C. Iijima,Raphael 2010 Estate Merlot (North Fork of Long Island),88,16,88
Anna Lee C. Iijima,Raphael 2010 Cabernet Sauvignon (North Fork of Long Island),90,60,90
Anna Lee C. Iijima,Raphael 2010 Cabernet Franc (North Fork of Long Island),85,17,85
Lauren Buzzeo,Raphael 2008 Grand Cru Chardonnay (North Fork of Long Island),85,15,85
,Raphael 2007 La Tavola Red (North Fork of Long Island),87,11,87
Anna Lee C. Iijima,Raphael 2007 Estate Merlot (North Fork of Long Island),85,19,85
,Raphael 2002 Estate Bottled Merlot (North Fork of Long Island),87,25,174
,Raphael 2001 Estate Bottled Merlot (North Fork of Long Island),86,25,86
Anna Lee C. Iijima,Pumphouse 2012 White (North Fork of Long Island),84,11,84
Anna Lee C. Iijima,Pugliese 2011 Riesling (North Fork of Long Island),83,14,83
Joe Czerwinski,Pindar Vineyards NV Pythagoras Red (North Fork of Long Island),83,11,83
Anna Lee C. Iijima,Pindar Vineyards 2012 Estate Bottled Sauvignon Blanc (North Fork of Long Island),84,15,84
Anna Lee C. Iijima,Pindar Vineyards 2012 Estate Bottled Riesling (North Fork of Long Island),87,17,87
Anna Lee C. Iijima,Pindar Vineyards 2007 Barrel Select Reserve Merlot (North Fork of Long Island),87,19,87
Joe Czerwinski,Pindar Vineyards 1998 Peacock Chardonnay (Long Island),84,9,84
Joe Czerwinski,Pindar Vineyards 1997 Reserve Cabernet Sauvignon (North Fork of Long Island),84,19,84
Anna Lee C. Iijima,Pellegrini Vineyards 2016 Rejoyce White (North Fork of Long Island),87,25,87
Anna Lee C. Iijima,Pellegrini Vineyards 2015 Rosé (North Fork of Long Island),90,20,90
Anna Lee C. Iijima,Pellegrini Vineyards 2015 Chardonnay (North Fork of Long Island),89,20,89
Anna Lee C. Iijima,Pellegrini Vineyards 2013 Vintner's Pride Chardonnay (North Fork of Long Island),87,30,87
Anna Lee C. Iijima,Pellegrini Vineyards 2013 Cabernet Franc (North Fork of Long Island),87,30,87
Anna Lee C. Iijima,Pellegrini Vineyards 2012 Cabernet Franc (North Fork of Long Island),84,30,84
Anna Lee C. Iijima,Pellegrini Vineyards 2011 Estate Grown Gewürztraminer (North Fork of Long Island),83,20,83
Anna Lee C. Iijima,Pellegrini Vineyards 2010 Vintner's Pride Estate Grown Encore Red (North Fork of Long Island),88,,88
Anna Lee C. Iijima,Pellegrini Vineyards 2010 Estate Grown Unfiltered Petit Verdot (North Fork of Long Island),89,50,89
Anna Lee C. Iijima,Pellegrini Vineyards 2007 Petit Verdot (North Fork of Long Island),87,22,87
Anna Lee C. Iijima,Pellegrini Vineyards 2007 Estate Grown Merlot (North Fork of Long Island),86,20,86
Anna Lee C. Iijima,Pellegrini Vineyards 2007 Estate Grown Cabernet Sauvignon (North Fork of Long Island),85,23,85
Anna Lee C. Iijima,Pellegrini Vineyards 2007 Estate Grown Cabernet Franc (North Fork of Long Island),86,22,86
Anna Lee C. Iijima,Pellegrini Vineyards 2005 Reserve Red (North Fork of Long Island),88,70,176
Anna Lee C. Iijima,Pellegrini Vineyards 2005 Cabernet Franc (North Fork of Long Island),82,20,82
Joe Czerwinski,Pellegrini Vineyards 1999 Eastend Select Merlot (North Fork of Long Island),84,12,84
Anna Lee C. Iijima,Peconic Bay Winery 2010 Lowerre Family Estate La Barrique Chardonnay (North Fork of Long Island),87,36,87
Anna Lee C. Iijima,Peconic Bay Winery 2010 Cabernet Franc (North Fork of Long Island),87,36,87
Anna Lee C. Iijima,Peconic Bay Winery 2009 Lot #2 Red (North Fork of Long Island),86,20,86
Susan Kostrzewa,Peconic Bay Winery 2007 Steel fermented Chardonnay (North Fork of Long Island),84,22,84
Susan Kostrzewa,Peconic Bay Winery 2007 La Barrique Chardonnay (North Fork of Long Island),85,22,85
,Peconic Bay Winery 2007 Cabernet Sauvignon (North Fork of Long Island),86,22,86
Joe Czerwinski,Peconic Bay Winery 2001 Riesling (North Fork of Long Island),84,13,84
Joe Czerwinski,Paumanok NV Festival Chardonnay (North Fork of Long Island),84,10,84
Anna Lee C. Iijima,Paumanok 2015 Dry Rosé (North Fork of Long Island),90,,90
Anna Lee C. Iijima,Paumanok 2015 Dry Riesling (North Fork of Long Island),90,22,90
Anna Lee C. Iijima,Paumanok 2015 Dry Chenin Blanc (North Fork of Long Island),90,28,90
Anna Lee C. Iijima,Paumanok 2014 Tuthill's Lane Vineyard Cabernet Sauvignon (North Fork of Long Island),92,75,184
Anna Lee C. Iijima,Paumanok 2014 Semi Dry Riesling (North Fork of Long Island),87,20,174
Anna Lee C. Iijima,Paumanok 2014 Sauvignon Blanc (North Fork of Long Island),90,24,90
Anna Lee C. Iijima,Paumanok 2014 Festival Merlot-Cabernet (North Fork of Long Island),89,20,89
Anna Lee C. Iijima,Paumanok 2014 Festival Chardonnay (North Fork of Long Island),90,19,180
Anna Lee C. Iijima,Paumanok 2014 Dry Rosé (North Fork of Long Island),91,20,91
Anna Lee C. Iijima,Paumanok 2014 Dry Riesling (North Fork of Long Island),91,22,91
Anna Lee C. Iijima,Paumanok 2014 Chenin Blanc (North Fork of Long Island),91,28,91
Anna Lee C. Iijima,Paumanok 2014 Cabernet Sauvignon (North Fork of Long Island),91,28,91
Anna Lee C. Iijima,Paumanok 2014 Cabernet Franc (North Fork of Long Island),90,28,90
Anna Lee C. Iijima,Paumanok 2013 Merlot (North Fork of Long Island),91,28,91
Anna Lee C. Iijima,Paumanok 2013 Grand Vintage Cabernet Franc (North Fork of Long Island),93,55,93
Anna Lee C. Iijima,Paumanok 2013 Dry Rosé (North Fork of Long Island),90,19,90
Anna Lee C. Iijima,Paumanok 2013 Assemblage Red (North Fork of Long Island),93,50,93
Anna Lee C. Iijima,Paumanok 2011 Festival Chardonnay (North Fork of Long Island),89,17,89
Anna Lee C. Iijima,Paumanok 2011 Dry Rosé (North Fork of Long Island),89,18,89
Anna Lee C. Iijima,Paumanok 2010 Semi Dry Riesling (North Fork of Long Island),89,22,89
Anna Lee C. Iijima,Paumanok 2010 Late Harvest Riesling (North Fork of Long Island),90,50,90
Anna Lee C. Iijima,Paumanok 2010 Grand Vintage Chardonnay (North Fork of Long Island),90,36,90
Anna Lee C. Iijima,Paumanok 2010 Cabernet Franc (North Fork of Long Island),91,28,91
Anna Lee C. Iijima,Paumanok 2010 Barrel Fermented Chardonnay (North Fork of Long Island),89,24,89
Anna Lee C. Iijima,Paumanok 2007 Merlot (North Fork of Long Island),90,24,90
Anna Lee C. Iijima,Paumanok 2007 Assemblage Red (North Fork of Long Island),90,45,90
Anna Lee C. Iijima,Paumanok 2005 Tuthills Lane Vineyard Cabernet Sauvignon (North Fork of Long Island),89,60,89
Joe Czerwinski,Paumanok 2000 Semi Dry Riesling (North Fork of Long Island),83,15,83
Joe Czerwinski,Paumanok 1998 Cabernet Sauvignon (North Fork of Long Island),84,18,84
Anna Lee C. Iijima,Palmer 2016 Merlot Rosé (North Fork of Long Island),89,20,89
Anna Lee C. Iijima,Palmer 2013 Cabernet Franc (North Fork of Long Island),87,29,174
Anna Lee C. Iijima,Palmer 2012 Sauvignon Blanc (North Fork of Long Island),89,19,89
Anna Lee C. Iijima,Palmer 2012 Merlot Rosé (North Fork of Long Island),87,20,87
Anna Lee C. Iijima,Palmer 2012 Albariño (North Fork of Long Island),83,25,166
Anna Lee C. Iijima,Palmer 2011 Pinot Blanc (North Fork of Long Island),88,20,88
Anna Lee C. Iijima,Palmer 2011 N 41° W 72° Chardonnay (North Fork of Long Island),87,14,87
Anna Lee C. Iijima,Palmer 2011 Aromatico White (North Fork of Long Island),82,25,82
Anna Lee C. Iijima,Palmer 2009 Sauvignon Blanc (North Fork of Long Island),84,19,84
Anna Lee C. Iijima,Palmer 2009 Proprietor's Reserve Cabernet Franc (North Fork of Long Island),86,29,86
Anna Lee C. Iijima,Palmer 2009 Merlot (North Fork of Long Island),88,,88
Anna Lee C. Iijima,Palmer 2009 Cabernet Sauvignon (North Fork of Long Island),86,29,86
Anna Lee C. Iijima,Palmer 2007 Proprietor's Reserve Cabernet Franc (North Fork of Long Island),85,27,85
,Palmer 2005 Merlot (North Fork of Long Island),87,19,87
Joe Czerwinski,Palmer 1999 Gewürztraminer (North Fork of Long Island),84,15,84
Joe Czerwinski,Palmer 1998 Estate Pinot Blanc (North Fork of Long Island),83,13,83
Joe Czerwinski,Palmer 1998 Estate Chardonnay (North Fork of Long Island),84,12,84
Joe Czerwinski,Palmer 1998 Cabernet Sauvignon (North Fork of Long Island),83,15,83
Joe Czerwinski,Palmer 1997 Merlot (North Fork of Long Island),83,18,83
Anna Lee C. Iijima,Osprey's Dominion 2016 Dry Rosé (North Fork of Long Island),89,15,178
Anna Lee C. Iijima,Osprey's Dominion 2015 Rosé (North Fork of Long Island),90,15,90
Anna Lee C. Iijima,Osprey's Dominion 2014 Reserve Pinot Gris (North Fork of Long Island),88,20,88
Anna Lee C. Iijima,Osprey's Dominion 2014 Pinot Noir (North Fork of Long Island),88,40,176
Anna Lee C. Iijima,Osprey's Dominion 2013 Richmond Creek Cabernet Franc (North Fork of Long Island),87,13,87
Anna Lee C. Iijima,Osprey's Dominion 2013 Reserve Pinot Gris (North Fork of Long Island),88,20,176
Anna Lee C. Iijima,Osprey's Dominion 2013 Reserve Petit Verdot (North Fork of Long Island),87,35,87
Anna Lee C. Iijima,Osprey's Dominion 2013 Reserve Cabernet Sauvignon (North Fork of Long Island),88,35,88
Anna Lee C. Iijima,Osprey's Dominion 2013 Malbec (North Fork of Long Island),87,24,87
Anna Lee C. Iijima,Osprey's Dominion 2013 Carmenère (North Fork of Long Island),92,24,184
Anna Lee C. Iijima,Osprey's Dominion 2012 Reserve Petit Verdot (North Fork of Long Island),85,35,85
Anna Lee C. Iijima,Osprey's Dominion 2012 Reserve Chardonnay (North Fork of Long Island),86,20,86
Anna Lee C. Iijima,Osprey's Dominion 2012 Fumé Blanc Sauvignon Blanc (North Fork of Long Island),89,15,89
Anna Lee C. Iijima,Osprey's Dominion 2012 Flight Meritage (North Fork of Long Island),88,28,176
Anna Lee C. Iijima,Osprey's Dominion 2010 Reserve Merlot (North Fork of Long Island),87,35,174
Anna Lee C. Iijima,Osprey's Dominion 2010 Reserve Chardonnay (North Fork of Long Island),84,20,84
Anna Lee C. Iijima,Osprey's Dominion 2010 Reserve Cabernet Sauvignon (North Fork of Long Island),85,40,85
Anna Lee C. Iijima,Osprey's Dominion 2007 Reserve Merlot (North Fork of Long Island),87,35,87
Lauren Buzzeo,Osprey's Dominion 2007 Reserve Chardonnay (North Fork of Long Island),86,16,86
Anna Lee C. Iijima,Osprey's Dominion 2007 Flight Meritage (North Fork of Long Island),89,24,89
Susan Kostrzewa,Osprey's Dominion 2005 Flight Meritage (North Fork of Long Island),87,35,87
Susan Kostrzewa,Osprey's Dominion 2005 Cabernet Sauvignon (North Fork of Long Island),84,20,84
Anna Lee C. Iijima,One Woman 2015 Sauvignon Blanc (North Fork of Long Island),87,28,87
Anna Lee C. Iijima,One Woman 2015 Grüner Veltliner (North Fork of Long Island),88,25,88
Anna Lee C. Iijima,One Woman 2015 Gewürztraminer (North Fork of Long Island),88,28,176
Anna Lee C. Iijima,One Woman 2015 Estate Reserve Sauvignon Blanc (North Fork of Long Island),88,35,88
Anna Lee C. Iijima,One Woman 2015 Chardonnay (North Fork of Long Island),89,28,89
Anna Lee C. Iijima,One Woman 2012 Gewürztraminer (North Fork of Long Island),84,23,84
